_id,title,rotten_tomato_rating,audience_rating,director,writers,top_5_billed
5f184ca1eec2a42d5d9cce74,Battleship,34%,54%,['Peter Berg'],"['Brian Koppelman', ' David Levien', ' Peter Berg', ' Erich Hoeber', ' Jon Hoeber']","['Taylor Kitsch ', 'Alexander Skarsgård ', 'Rihanna ', 'Brooklyn Decker ', 'Tadanobu Asano ']"
5f184caaeec2a42d5d9cce75,Transformers: The Last Knight,15%,44%,['Michael Bay'],"['Ken Nolan', ' Matt Holloway', ' Art Marcum']","['Mark Wahlberg ', 'Anthony Hopkins ', 'Josh Duhamel ', 'Laura Haddock ', 'Isabela Merced ']"
5f184cb5eec2a42d5d9cce76,Jurassic World,70%,78%,['Colin Trevorrow'],"['Derek Connolly', ' Colin Trevorrow', ' Rick Jaffa', ' Amanda Silver']","['Chris Pratt ', '', 'Claire Dearing', 'Hoskins, ', 'Judy Greer ']"
5f184cbceec2a42d5d9cce77,Transformers: Revenge of the Fallen,20%,57%,['Michael Bay'],"['Ehren Kruger', ' Roberto Orci', ' Alex Kurtzman']","['Shia LaBeouf ', 'Megan Fox ', 'Josh Duhamel ', 'Tyrese Gibson ', 'John Turturro ']"
5f184cc8eec2a42d5d9cce78,Transformers: Age of Extinction,18%,50%,['Michael Bay'],['Ehren Kruger'],"['Mark Wahlberg ', 'Jack Reynor ', 'Nicola Peltz ', 'Stanley Tucci ', 'Kelsey Grammer ']"
5f184cd6eec2a42d5d9cce79,X-Men: The Last Stand,57%,61%,['Brett Ratner'],"['Simon Kinberg', ' Zak Penn', ' Brett Ratner']","['Hugh Jackman ', 'Halle Berry ', 'Ian McKellen ', 'Patrick Stewart ', 'Famke Janssen ']"
5f184ce5eec2a42d5d9cce7a,King Kong,84%,50%,['Peter Jackson'],"['Fran Walsh', ' Philippa Boyens', ' Peter Jackson']","['Naomi Watts ', 'Jack Black ', 'Adrien Brody ', 'Thomas Kretschmann ', 'Colin Hanks ']"
5f184cf5eec2a42d5d9cce7b,The Golden Compass,42%,51%,['Chris Weitz'],"['Chris Weitz', ' Philip Pullman']","['Nicole Kidman ', 'Daniel Craig ', 'Dakota Blue Richards ', 'Sam Elliott ', 'Ben Walker ']"
5f184d10eec2a42d5d9cce7c,Titanic,89%,69%,['James Cameron'],['James Cameron'],"['Leonardo DiCaprio ', 'Kate Winslet ', 'Billy Zane ', 'Kathy Bates ', 'Frances Fisher ']"
5f184d19eec2a42d5d9cce7d,Incredibles 2,94%,84%,['Brad Bird'],['Brad Bird'],"['Craig T. Nelson ', 'Holly Hunter ', 'Sarah Vowell ', 'Huck Milner ', 'Catherine Keener ']"
5f184d22eec2a42d5d9cce7e,Rogue One: A Star Wars Story,84%,86%,['Gareth Edwards (V)'],"['George Lucas', ' Chris Weitz', ' Tony Gilroy']","['Felicity Jones ', 'Diego Luna ', 'Mads Mikkelsen ', 'Ben Mendelsohn ', 'Donnie Yen ']"
5f184d2aeec2a42d5d9cce7f,Finding Dory,94%,84%,"['Andrew Stanton', ' Angus MacLane']","['Andrew Stanton', ' Victoria Strouse']","[""Ed O'Neill "", 'Dominic West ', 'Andrew Stanton ', 'Bennett Dammann ', 'Bob Peterson ']"
5f184d36eec2a42d5d9cce80,Toy Story 4,97%,94%,['Josh Cooley'],"['Andrew Stanton', ' Stephany Folsom']","['Tom Hanks ', 'Tim Allen ', 'Annie Potts ', 'Keegan-Michael Key ', 'Jordan Peele ']"
5f184d42eec2a42d5d9cce81,Toy Story 3,98%,89%,['Lee Unkrich'],"['Lee Unkrich', ' Andrew Stanton', ' John Lasseter', ' Michael Arndt']","['Tom Hanks ', 'Tim Allen ', 'Joan Cusack ', 'Ned Beatty ', 'Don Rickles ']"
5f184d4beec2a42d5d9cce82,Iron Man 3,79%,78%,['Shane Black'],"['Drew Pearce', ' Shane Black']","['Robert Downey Jr. ', 'Gwyneth Paltrow ', 'Don Cheadle ', 'Guy Pearce ', 'James Badge Dale ']"
5f184d58eec2a42d5d9cce83,Guardians of the Galaxy Vol 2,85%,87%,['James Gunn (II)'],['James Gunn (II)'],"['Chris Pratt ', 'Zoe Saldana ', 'Dave Bautista ', 'Bradley Cooper ', 'Vin Diesel ']"
5f184d66eec2a42d5d9cce84,Skyfall,92%,86%,['Sam Mendes'],"['John Logan', ' Robert Wade', ' Neal Purvis']","['Daniel Craig ', 'Javier Bardem ', 'Judi Dench ', 'Naomie Harris ', 'Ralph Fiennes ']"
5f184d6deec2a42d5d9cce85,The Hobbit: An Unexpected Journey,64%,83%,['Peter Jackson'],"['Peter Jackson', ' Guillermo del Toro', ' Fran Walsh', ' Philippa Boyens']","['Ian McKellen ', 'Martin Freeman ', '', 'Thorin', 'Balin']"
5f184d78eec2a42d5d9cce86,Monsters University,80%,81%,['Dan Scanlon'],"['Daniel Gerson', ' Robert L. Baird', ' Dan Scanlon']","['John Goodman ', 'Helen Mirren ', 'Peter Sohn ', 'Joel Murray ', 'Sean Hayes ']"
5f184d81eec2a42d5d9cce87,Oz the Great and Powerful,57%,56%,['Sam Raimi'],"['Mitchell Kapner', ' David Lindsay-Abaire']","['James Franco ', 'Mila Kunis ', 'Rachel Weisz ', 'Zach Braff ', 'Bill Cobbs ']"
5f184d8eeec2a42d5d9cce88,X-Men: Days of Future Past,90%,91%,['Bryan Singer'],"['Matthew Vaughn', ' Bryan Singer', ' Simon Kinberg', ' Jane Goldman']","['Hugh Jackman ', 'James McAvoy ', '', '', 'Mystique/Raven']"
5f184d97eec2a42d5d9cce89,The Amazing Spider-Man 2,51%,64%,['Marc Webb'],"['Roberto Orci', ' Alex Kurtzman', ' Jeff Pinkner']","['Andrew Garfield ', 'Emma Stone ', 'Jamie Foxx ', 'Dane DeHaan ', 'Chris Cooper ']"
5f184da1eec2a42d5d9cce8a,Cars 2,39%,49%,"['John Lasseter', ' Brad Lewis']","['John Lasseter', ' Dan Fogelman', ' Ben Queen']","['John Turturro ', 'Eddie Izzard ', 'Michael Caine ', 'Emily Mortimer ', 'Bonnie Hunt ']"
5f184db0eec2a42d5d9cce8b,2012,40%,47%,['Roland Emmerich'],"['Roland Emmerich', ' Harald Kloser']","['John Cusack ', 'Amanda Peet ', 'Chiwetel Ejiofor ', 'Thandie Newton ', 'Oliver Platt ']"
5f184db5eec2a42d5d9cce8c,Fantastic Beasts: The Crimes of Grindelwald,36%,54%,['David Yates (II)'],['J.K. Rowling'],"['Johnny Depp ', 'Kevin Guthrie ', 'Carmen Ejogo ', 'Wolf Roth ', 'Eddie Redmayne ']"
5f184dbeeec2a42d5d9cce8d,Terminator Salvation,33%,54%,['McG'],"['John Brancato', ' Michael Ferris', ' McG']","['Christian Bale ', 'Sam Worthington ', 'Anton Yelchin ', 'Moon Bloodgood ', 'Helena Bonham Carter ']"
5f184dcaeec2a42d5d9cce8e,Green Lantern,26%,45%,['Martin Campbell'],"['Marc Guggenheim', ' Michael Green', ' Michael Goldenberg', ' Martin Campbell', ' Greg Berlanti']","['Ryan Reynolds ', 'Blake Lively ', 'Peter Sarsgaard ', 'Mark Strong (II) ', 'Tim Robbins ']"
5f184dd2eec2a42d5d9cce8f,Prince of Persia: Sands of Time,37%,58%,['Mike Newell'],"['Carlo Bernard', ' Mike Newell', ' Boaz Yakin', ' Doug Miro']","['Jake Gyllenhaal ', 'Gemma Arterton ', 'Ben Kingsley ', 'Alfred Molina ', 'Steve Toussaint ']"
5f184dd9eec2a42d5d9cce90,Dark Phoenix,23%,64%,['Simon Kinberg'],['Simon Kinberg'],"['James McAvoy ', 'Michael Fassbender ', 'Jennifer Lawrence ', 'Nicholas Hoult ', 'Sophie Turner ']"
5f184de2eec2a42d5d9cce91,Mulan,86%,85%,"['Barry Cook', ' Tony Bancroft']","['Rita Hsiao', ' Chris Sanders', ' Philip LaZebnik', ' Raymond Singer', ' Eugenia Bostwick-Singer']","['Ming-Na Wen ', 'Eddie Murphy ', 'Lea Salonga ', 'B.D. Wong ', 'George TakeiDonny Osmond ']"
5f184df0eec2a42d5d9cce92,Transformers: Dark of the Moon,35%,55%,['Michael Bay'],['Ehren Kruger'],"['Shia LaBeouf ', 'Josh Duhamel ', 'John Turturro ', 'Tyrese Gibson ', 'Rosie Huntington-Whiteley ']"
5f184dffeec2a42d5d9cce93,Jack the Giant Slayer,52%,55%,['Bryan Singer'],"['Dan Studney', ' Darren Lemke', ' Christopher McQuarrie']","['Nicholas Hoult ', 'Eleanor Tomlinson ', 'Stanley Tucci ', 'Ewan McGregor ', 'Ian McShane ']"
5f184e10eec2a42d5d9cce94,Furious 7,82%,82%,['James Wan'],"['Chris Morgan', ' James Wan', ' Gary Scott Thompson']","['Vin Diesel ', 'Paul Walker ', 'Jason Statham ', 'Dwayne Johnson ', 'Tony Jaa ']"
5f184e1eeec2a42d5d9cce95,Star Trek Into Darkness,84%,89%,['J.J. Abrams'],"['Damon Lindelof', ' Alex Kurtzman', ' Roberto Orci']","['Chris Pine ', 'Zachary Quinto ', 'Zoe Saldana ', 'Karl Urban ', 'Simon Pegg ']"
5f184e2eeec2a42d5d9cce96,World War Z,66%,72%,['Marc Forster'],"['Matthew Michael Carnahan', ' J. Michael Straczynski', ' Damon Lindelof', ' Drew Goddard']","['Brad Pitt ', 'Mireille Enos ', 'James Badge Dale ', 'Daniella Kertesz ', 'Ludi Boeken ']"
5f184e44eec2a42d5d9cce97,The Good Dinosaur,76%,65%,['Peter Sohn'],['Meg LeFauve'],"['Frances McDormand ', 'A.J. Buckley ', 'Anna Paquin ', 'Sam Elliott ', 'Alan TudykMarcus Scribner ']"
5f184e52eec2a42d5d9cce98,Iron Man,94%,91%,"['Written By:Matthew Hollaway', ' Mark Fergus', ' Hawk Ostby', ' Art Marcum', ' Matt Holloway']","['In Theaters:Apr 14', ' 2008\xa0wide']","['Robert Downey Jr. ', 'Terrence Howard ', 'Jeff Bridges ', 'Gwyneth Paltrow ', 'Leslie Bibb ']"
5f184e5eeec2a42d5d9cce99,The Dark Knight,94%,94%,['Christopher Nolan'],"['Christopher Nolan', ' Jonathan Nolan']","['Christian Bale ', 'Heath Ledger ', 'Aaron Eckhart ', 'Maggie Gyllenhaal ', 'Gary Oldman ']"
5f184e6eeec2a42d5d9cce9a,Indiana Jones and the Kingdom of the Crystal Skull,78%,54%,['Steven Spielberg'],['David Koepp'],"['Harrison Ford ', 'Shia LaBeouf ', 'Cate Blanchett ', 'Karen Allen ', 'John Hurt ']"
5f184e7beec2a42d5d9cce9b,Kong: Skull Island,75%,69%,['Jordan Vogt-Roberts'],"['Dan Gilroy', ' Max Borenstein', ' Derek Connolly']","['Tom Hiddleston ', 'Samuel L. Jackson ', 'John Goodman ', 'Brie Larson ', 'John C. Reilly ']"
5f184e8beec2a42d5d9cce9c,Star Trek Beyond,86%,80%,['Justin Lin'],"['Simon Pegg', ' Doug Jung', ' Gene Roddenberry', ' Roberto Orci']","['Chris Pine ', 'Zachary Quinto ', 'Anton Yelchin ', 'John Cho ', 'Simon Pegg ']"
5f184e97eec2a42d5d9cce9d,Maleficent: Mistress of Evil,40%,95%,['Joachim Rønning'],"['Linda Woolverton', ' Micah Fitzerman-Blue', ' Noah Harpster', ' Charles Perrault']","['Angelina Jolie ', 'Elle Fanning ', 'Michelle Pfeiffer ', 'Sam Riley ', 'Imelda Staunton ']"
5f184e9feec2a42d5d9cce9e,Blade Runner 2049,88%,81%,['Denis Villeneuve'],"['Michael Green', ' Hampton Fancher']","['Ryan Gosling ', 'Harrison Ford ', 'Ana de Armas ', 'Sylvia Hoeks ', 'Robin Wright ']"
5f184ea9eec2a42d5d9cce9f,Terminator: Dark Fate,70%,82%,['Written By:Justin B. Rhodes'],"['In Theaters:Nov 1', ' 2019\xa0wide']","['Linda Hamilton ', 'Aaron KunitzArnold Schwarzenegger ', 'Georgia SimonMackenzie Davis ', 'Natalia Reyes ', 'Gabriel Luna ']"
5f184eb2eec2a42d5d9ccea0,Aladdin,57%,94%,['Guy Ritchie'],"['John August', ' Guy Ritchie']","['Will Smith ', 'Mena Massoud ', 'Naomi Scott ', 'Marwan Kenzari ', 'Billy Magnussen ']"
5f184ec0eec2a42d5d9ccea1,Thor: Ragnarok,93%,87%,['Taika Waititi'],['Eric Pearson'],"['Chris Hemsworth ', 'Tom Hiddleston ', 'Mark Ruffalo ', 'Cate Blanchett ', 'Anthony Hopkins ']"
5f184ec6eec2a42d5d9ccea2,Maleficent,53%,70%,['Robert Stromberg'],['Linda Woolverton'],"['Angelina Jolie ', 'Sharlto Copley ', 'Elle Fanning ', 'Brenton Thwaites ', 'Imelda Staunton ']"
5f184ed2eec2a42d5d9ccea3,Fantastic Beasts and Where to Find Them,74%,79%,['David Yates (II)'],"['J.K. Rowling', ' J.K. Rowling']","['Eddie Redmayne ', 'Katherine Waterston ', '', '', 'Jacob']"
5f184edaeec2a42d5d9ccea4,WALL-E,95%,90%,['Andrew Stanton'],"['Jim Reardon', ' Andrew Stanton']","['Ben Burtt ', 'Elissa Knight ', 'Jeff Garlin ', 'Fred Willard ', 'John Ratzenberger ']"
5f184ee9eec2a42d5d9ccea5,Rush Hour 3,18%,63%,['Brett Ratner'],"['Brett Ratner', ' Jeff Nathanson', ' Ross LaManna']","['Jackie Chan ', 'Chris Tucker ', 'Max von Sydow ', 'Noémie Lenoir ', 'Dana Ivey ']"
5f184ef0eec2a42d5d9ccea6,The Legend of Tarzan,36%,58%,['David Yates (II)'],"['Adam Cozad', ' Craig Brewer']","['Alexander Skarsgård ', 'Margot Robbie ', 'Samuel L. Jackson ', 'Christoph Waltz ', 'Djimon Hounsou ']"
5f184ef7eec2a42d5d9ccea7,Hugo,93%,78%,['Martin Scorsese'],['John Logan'],"['Ben Kingsley ', 'Sacha Baron Cohen ', 'Asa Butterfield ', 'Chloë Grace Moretz', 'Ray Winstone ']"
5f184f00eec2a42d5d9ccea8,Valerian and the City of a Thousand Planets,48%,53%,['Luc Besson'],['Luc Besson'],"['Dane DeHaan ', 'Cara Delevingne ', 'Clive Owen ', 'Rihanna ', 'Ethan Hawke ']"
5f184f06eec2a42d5d9ccea9,Jupiter Ascending,27%,38%,"['Lana Wachowski', ' Lilly Wachowski']","['Lana Wachowski', ' Lilly Wachowski']","['Mila Kunis ', 'Channing Tatum ', '', '', '']"
5f184f12eec2a42d5d9cceaa,X-Men: Apocalypse,47%,65%,"['In Theaters:May 27', ' 2016\xa0wide']","['On Disc/Streaming:Oct 4', ' 2016']","['Oscar Isaac ', 'Lana Condor ', 'Ben Hardy ', 'Abdulla Hamam ', 'Hesham Hammoud ']"
5f184f1deec2a42d5d9cceab,The Meg,46%,42%,['Jon Turteltaub'],"['Dean Georgaris', ' Jon Hoeber', ' Erich Hoeber']","['Jason Statham ', 'Bingbing Li ', 'Winston Chao ', 'Rainn Wilson ', 'Ruby Rose ']"
5f184f28eec2a42d5d9cceac,Edge of Tomorrow,91%,90%,['Doug Liman'],"['Dante Harper', ' Joby Harold', ' Christopher McQuarrie', ' Jez Butterworth', ' John-Henry Butterworth']","['Tom Cruise ', 'Emily Blunt ', 'Bill Paxton ', 'Jonas Armstrong ', 'Tony Way ']"
5f184f33eec2a42d5d9ccead,Captain Marvel,78%,48%,"['Anna Boden', ' Ryan Fleck']","['Anna Boden', ' Ryan Fleck', ' Geneva Robertson-Dworet']","['Brie Larson ', 'Samuel L. Jackson ', 'Ben Mendelsohn ', 'Djimon Hounsou ', 'Lee Pace ']"
5f184f4beec2a42d5d9cceae,Spider-Man: Homecoming,92%,87%,['Jon Watts'],"['Jonathan M. Goldstein', ' John Francis Daley', ' Jon Watts', ' Christopher Ford', ' Chris McKenna (II)', ' Erik Sommers']","['Tom Holland (II) ', 'Michael Keaton ', 'Robert Downey Jr. ', 'Gwyneth Paltrow ', 'Zendaya ']"
5f184f65eec2a42d5d9cceaf,Up,98%,90%,"['Linn Patrick', ' Pete Docter', ' Bob Peterson']","['Bob Peterson', ' Pete Docter', ' Tom McCarthy', ' Ronnie del Carmen']","['Luis Varela ', 'Matías Prats ', 'Miguel de la Quadra-Salcedo ', 'Sebastián Álvaro ', 'Claudio Rodríguez ']"
5f184f78eec2a42d5d9cceb0,Ralph Breaks The Internet,88%,65%,"['Phil Johnston', ' Rich Moore']","['Phil Johnston', ' Pamela Ribon']","['John C. Reilly ', 'Sarah Silverman ', 'Gal Gadot ', 'Jack McBrayer ', 'Jane Lynch ']"
5f184f7feec2a42d5d9cceb1,Monsters vs. Aliens,73%,59%,['Robert Porter'],"['In Theaters:Mar 27', ' 2009\xa0wide']","['Seth Rogen ', 'James Horan ', 'David Kaye ', 'Julie White ', 'Kiefer Sutherland ']"
5f184f86eec2a42d5d9cceb2,Cars 3,70%,69%,['Brian Fee'],"['Kiel Murray', ' Bob Peterson', ' Mike Rich']","['Owen Wilson ', 'Kerry Washington ', 'Nathan Fillion ', 'Lea DeLaria ', 'Armie Hammer ']"
5f184f8feec2a42d5d9cceb3,G.I. Joe: The Rise of Cobra,34%,50%,['Stephen Sommers'],"['Stuart Beattie', ' Paul Lovett', ' David Elliot']","['Adewale Akinnuoye-Agbaje ', 'Christopher Eccleston ', 'Joseph Gordon-Levitt ', 'Dennis Quaid ', 'Channing Tatum ']"
5f184f9ceec2a42d5d9cceb4,Wild Wild West,17%,28%,['Barry Sonnenfeld'],"['Jim Thomas', ' John Thomas', ' Barry Sonnenfeld', ' Peter S. Seaman', ' S.S. Wilson', ' Jeffrey Price', ' Brent Maddock']","['Will Smith ', 'Kevin Kline ', 'Kenneth Branagh ', 'Frederique Van Der Wal ', 'Ted Levine ']"
5f184fabeec2a42d5d9cceb5,Evan Almighty,23%,52%,['Tom Shadyac'],"['Alec Sokolow', ' Steve Oedekerk', ' Josh Stolberg', ' Bobby Florsheim', ' Joel Cohen']","['Steve Carell ', 'Morgan Freeman ', 'Lauren Graham ', 'Wanda Sykes ', 'Graham Phillips ']"
5f184fb3eec2a42d5d9cceb6,Waterworld,46%,43%,['Kevin Reynolds'],"['Peter Rader', ' David Twohy']","['Kevin Costner ', 'Jeanne Tripplehorn ', 'Tina Majorino ', 'Dennis Hopper ', 'Michael Jeter ']"
5f184fbbeec2a42d5d9cceb7,Dolittle,14%,76%,['Stephen Gaghan'],['Stephen Gaghan'],"['Robert Downey Jr. ', 'Antonio Banderas ', 'Michael Sheen ', 'Harry Collett ', 'Emma Thompson ']"
5f184fc8eec2a42d5d9cceb8,King Arthur: Legend of the Sword,31%,69%,['Guy Ritchie'],"['Joby Harold', ' Guy Ritchie', ' Lionel Wigram']","['Charlie Hunnam ', 'Astrid Bergès-Frisbey ', 'Djimon Hounsou ', 'Aidan Gillen ', 'Jude Law ']"
5f184fe0eec2a42d5d9cceb9,Jurassic World: Fallen Kingdom,47%,48%,['J.A. Bayona'],"['Colin Trevorrow', ' Derek Connolly']","['Chris Pratt ', 'Bryce Dallas Howard ', 'Rafe Spall ', 'Justice Smith ', 'Daniella Pineda ']"
5f184feeeec2a42d5d9cceba,Guardians of the Galaxy,91%,92%,['James Gunn (II)'],"['James Gunn (II)', ' James Gunn', ' Nicole Perlman', ' Dan Abnett', ' Andy Lanning', ' Bill Mantlo', ' Jim Starlin', ' Steve Gerber']","['Chris Pratt ', 'Zoe Saldana ', 'Dave Bautista ', 'Lee Pace ', 'Michael Rooker ']"
5f184ff8eec2a42d5d9ccebb,Iron Man 2,73%,71%,['Written By:Justin Theroux'],"['In Theaters:May 7', ' 2010\xa0wide']","['Robert Downey Jr. ', 'Gwyneth Paltrow ', 'Don Cheadle ', 'Mickey Rourke ', 'Sam Rockwell ']"
5f184fffeec2a42d5d9ccebc,Captain America: The Winter Soldier,90%,92%,"['Joe Russo', ' Anthony Russo']","['Christopher Markus', ' Stephen McFeely', ' Jack Kirby']","['Chris Evans ', 'Samuel L. Jackson ', 'Scarlett Johansson ', 'Anthony Mackie ', 'Sebastian Stan ']"
5f18500aeec2a42d5d9ccebd,Dawn of the Planet of the Apes,90%,88%,['Matt Reeves'],"['Rick Jaffa', ' Amanda Silver', ' Mark Bomback']","['Andy Serkis ', 'Jason Clarke ', 'Gary Oldman ', 'Keri Russell ', 'Kodi Smit-McPhee ']"
5f185013eec2a42d5d9ccebe,Snow White and the Huntsman,49%,52%,['Rupert Sanders'],"['Hossein Amini', ' Rupert Sanders', ' Evan Daugherty', ' John Lee Hancock']","['Kristen Stewart ', 'Chris Hemsworth ', 'Charlize Theron ', 'Sam Claflin ', 'Sam Spruell ']"
5f185022eec2a42d5d9ccebf,Terminator 3: Rise of the Machines,69%,46%,['Jonathan Mostow'],"['Michael Ferris', ' John Brancato', ' Tedi Sarafian']","['Arnold Schwarzenegger ', 'Nick Stahl ', 'Claire Danes ', 'Kristanna Loken ', 'David Andrews ']"
5f185031eec2a42d5d9ccec0,Van Helsing,24%,57%,['Stephen Sommers'],['Stephen Sommers'],"['Hugh Jackman ', 'Kate Beckinsale ', 'Richard Roxburgh ', 'David Wenham ', 'Shuler Hensley ']"
5f185040eec2a42d5d9ccec1,Dumbo,98%,70%,"['Sam Armstrong', ' Jack Kinney', ' Norman Ferguson', ' Wilfred Jackson', ' Bill Roberts', ' Ben Sharpsteen', ' Samuel Armstrong']","['Joe Grant', ' Dick Huemer', ' Joe Rinaldi', ' Webb Smith', ' Otto Englander', ' Aurelius Battaglia', ' Bill Peet']","['Sterling Holloway ', 'Jesper Klein ', 'Edward S. Brophy ', 'Lily Broberg ', 'Herman Bing ']"
